13.11443, 54.26821, "ID:0727"
13.07922, 54.30911, "ID:0264"
13.07417, 54.27694, "V75355"
13.04255, 54.1113, "ID:0121"
13.00511, 54.35433, "V7418"
13.00366, 54.35498, "V7417"
13.00133, 54.35626, "V9117"
12.96179, 54.09529, "V64034"
12.96226, 54.09423, "V64035"
12.9813, 54.09789, "V35277"
12.78423, 54.07529, "V12186"
12.78712, 54.07103, "V12188"
12.78566, 54.07313, "V12187"
12.78108, 54.06965, "V12189"
12.77953, 54.0794, "V12180"
12.77951, 54.07178, "V12185"
12.77804, 54.07397, "V12184"
12.77714, 54.08016, "V12181"
12.77655, 54.07628, "V12183"
12.77499, 54.07832, "V12182"
12.76038, 54.35155, "V72847"
12.75999, 54.35447, "V62207"
12.75785, 54.35519, "V62208"
12.73725, 54.3186, "V9182"
12.73735, 54.3201, "V9181"
12.75155, 54.35751, "V62213"
12.75375, 54.35673, "V62211"
12.75586, 54.35595, "V62212"
12.56369, 54.35685, "V62216"
12.49512, 54.38654, "V72846"
12.49356, 54.3177, "V6843"
12.49307, 54.31872, "V6834"
12.49281, 54.38651, "V72845"
12.4921, 54.31947, "V6835"
12.49158, 54.32035, "V6842"
12.49086, 54.32116, "V6902"
12.49015, 54.32198, "V6901"
12.48919, 54.32276, "V6903"
12.48724, 54.32506, "V9111"
12.48851, 54.32387, "V9110"
12.48604, 54.31824, "Zufahrt WP Saal"
12.38956, 54.35135, "ID:0519"
12.38382, 54.34491, "V3233"
12.50836, 54.21474, "V13931"
12.50513, 54.2169, "V13932"
12.50339, 54.21248, "V13934"
12.50212, 54.21516, "V13935"
12.49968, 54.21731, "V13933"
12.49482, 54.21679, "V13937"
12.49389, 54.2125, "V222329"
12.49164, 54.218, "V13938"
12.48726, 54.20825, "V6909"
12.48642, 54.21249, "V13940"
12.48536, 54.20956, "V6910"
12.48602, 54.2161, "V13939"
12.51917, 54.1625, "V11996"
12.51806, 54.15917, "V11995"
12.51333, 54.16306, "V11993"
12.51306, 54.16056, "V11994"
12.51056, 54.16583, "V11992"
12.505, 54.16528, "V11991"
12.48092, 54.21206, "V13936"
12.48049, 54.20845, "UW Kuhlrade"
12.47767, 54.21331, "V62408"
12.43709, 54.24441, "ID:0323"
12.4755, 54.21208, "V67170"
12.43764, 54.24445, "ID:0272"
12.4037, 54.07191, "V62378"
12.38597, 54.0773, "ID:0344"
12.4009, 54.07383, "V17806"
12.27168, 54.26882, "V62127"
12.36389, 54.28977, "ID:0073"
12.34822, 54.21591, "ID:0032"
12.32428, 54.18985, "ID:0348"
12.24747, 54.10138, "V202757"
12.22083, 54.15759, "V9253"
12.22176, 54.15912, "V9254"
12.17292, 54.0814, "ID:0390"
